y	half_px	Z	o_halfwidth_m
904	66.00	223.740	7.586
896	65.00	224.879	7.479
888	65.00	225.940	7.485
880	64.50	227.044	7.435
872	64.00	228.149	7.384
864	63.00	229.297	7.277
856	63.00	230.366	7.283
848	62.00	231.519	7.176
840	61.50	232.634	7.125
832	61.00	233.750	7.074
824	60.50	234.869	7.023
816	60.50	235.948	7.028
808	59.50	237.113	6.920
800	59.00	238.238	6.869
792	58.50	239.365	6.817
784	58.00	240.495	6.766
776	55.00	241.843	6.428
768	57.00	242.761	6.662
760	56.50	243.897	6.610
752	56.00	245.036	6.558
744	55.00	246.221	6.448
736	55.00	247.320	6.454
728	54.50	248.465	6.401
720	54.00	249.613	6.349
712	53.50	250.763	6.296
704	53.00	251.915	6.244
696	52.50	253.069	6.191
688	52.00	254.226	6.138
680	51.50	255.385	6.085
672	51.00	256.546	6.032
664	50.50	257.710	5.979
656	50.00	258.876	5.925
648	49.50	260.044	5.872
640	49.50	261.168	5.877
632	51.50	262.102	6.115
624	51.50	263.227	6.120
616	51.00	264.403	6.066
608	52.00	265.436	6.188
600	52.50	266.519	6.252
528	70.50	274.960	8.401
512	71.50	277.141	8.531
504	71.50	278.285	8.538
496	69.00	279.687	8.254
488	69.00	280.835	8.261
480	62.50	282.661	7.507
472	60.50	284.027	7.278
464	57.50	285.502	6.931
456	60.50	286.346	7.290
448	60.50	287.509	7.296
432	61.50	289.733	7.426
424	53.50	291.766	6.485
408	39.00	295.713	4.761
400	14.50	299.651	1.788
392	11.00	301.251	1.360
384	8.50	302.744	1.052
376	11.00	303.664	1.362
368	7.50	305.279	0.931
360	7.00	306.551	0.869
352	9.00	307.532	1.118
344	10.00	308.631	1.243
336	9.00	309.967	1.120
328	8.00	311.307	0.997
320	4.50	312.950	0.562
312	5.00	314.117	0.625
304	5.00	315.347	0.625
296	4.50	316.639	0.563
288	4.50	317.873	0.564
280	4.50	319.109	0.564
272	4.50	320.347	0.565
264	4.00	321.650	0.503
256	4.50	322.830	0.566
248	6.00	323.887	0.755
240	7.00	325.008	0.881
232	9.50	325.940	1.195
